1.000,0.000,0.000,0.000,-0.077,0.006,-1.024,0.000,0.000,0.000
1.000,0.016,-0.015,0.009,-0.079,0.006,-1.029,246.325,118.216,-418.696
0.999,0.033,-0.030,0.017,-0.079,0.004,-1.025,256.403,109.573,-413.158
0.997,0.050,-0.045,0.024,-0.080,0.008,-1.032,245.091,100.298,-409.462
0.996,0.068,-0.059,0.030,-0.077,0.006,-1.030,245.734,112.189,-412.653
0.993,0.085,-0.074,0.035,-0.079,0.004,-1.031,247.267,107.781,-411.179
0.990,0.103,-0.088,0.039,-0.078,0.003,-1.033,233.299,113.295,-413.509
0.986,0.121,-0.103,0.042,-0.078,0.004,-1.027,247.397,101.970,-416.995
0.982,0.139,-0.117,0.045,-0.081,0.007,-1.029,254.263,116.725,-402.829
0.978,0.157,-0.132,0.048,-0.080,0.004,-1.032,250.502,107.787,-405.437
0.972,0.174,-0.147,0.050,-0.077,0.004,-1.024,243.788,110.625,-411.049
0.967,0.191,-0.161,0.051,-0.079,0.006,-1.030,236.612,101.627,-416.434
0.961,0.209,-0.176,0.052,-0.080,0.005,-1.027,239.948,113.362,-404.989
0.954,0.225,-0.191,0.053,-0.076,0.006,-1.027,245.720,120.959,-406.893
0.947,0.242,-0.206,0.054,-0.078,0.005,-1.024,242.305,120.898,-409.671
0.939,0.258,-0.222,0.054,-0.079,0.005,-1.022,253.916,107.847,-402.659
0.931,0.274,-0.237,0.055,-0.078,0.005,-1.033,246.856,101.808,-408.101
0.922,0.289,-0.253,0.055,-0.076,0.003,-1.028,240.489,113.524,-413.883
0.912,0.305,-0.268,0.054,-0.078,0.004,-1.029,247.795,116.712,-414.314
0.903,0.319,-0.284,0.054,-0.078,0.003,-1.027,251.107,105.044,-417.239
0.892,0.333,-0.299,0.053,-0.080,0.005,-1.025,239.537,107.390,-401.911
0.882,0.347,-0.315,0.052,-0.077,0.006,-1.027,243.428,110.517,-405.119
0.871,0.361,-0.331,0.052,-0.079,0.007,-1.026,238.132,105.988,-409.201
0.859,0.374,-0.346,0.050,-0.076,0.007,-1.030,230.891,99.895,-411.678
0.847,0.386,-0.362,0.049,-0.081,0.007,-1.033,234.292,108.724,-403.141
0.834,0.399,-0.377,0.048,-0.078,0.003,-1.029,234.769,111.792,-409.127
0.821,0.411,-0.393,0.047,-0.076,0.006,-1.029,234.898,105.982,-414.943
0.808,0.423,-0.408,0.045,-0.078,0.006,-1.022,241.482,108.953,-403.515
0.794,0.434,-0.423,0.044,-0.077,0.004,-1.026,250.206,104.774,-402.415
0.780,0.445,-0.438,0.042,-0.080,0.005,-1.029,227.643,108.658,-411.661
0.765,0.456,-0.453,0.041,-0.079,0.005,-1.029,242.268,106.265,-418.282
0.751,0.466,-0.467,0.039,-0.079,0.004,-1.027,243.802,101.856,-416.808
0.735,0.476,-0.481,0.038,-0.075,0.002,-1.027,258.399,117.002,-411.911
0.719,0.486,-0.495,0.036,-0.078,0.008,-1.028,245.091,100.298,-409.462
0.703,0.495,-0.509,0.034,-0.080,0.005,-1.027,227.990,117.535,-411.831
0.687,0.504,-0.522,0.033,-0.074,0.002,-1.025,245.849,115.148,-412.710
0.670,0.513,-0.536,0.031,-0.081,0.005,-1.030,244.495,119.611,-417.148
0.653,0.521,-0.548,0.030,-0.078,0.009,-1.025,250.964,119.624,-405.663
0.636,0.529,-0.561,0.028,-0.078,0.006,-1.028,245.026,103.204,-406.553
0.618,0.537,-0.573,0.026,-0.078,0.005,-1.031,243.968,110.679,-414.014
0.601,0.545,-0.585,0.025,-0.078,0.005,-1.028,243.673,107.666,-410.992
0.583,0.552,-0.596,0.023,-0.078,0.004,-1.029,245.978,109.338,-418.526
0.564,0.559,-0.607,0.022,-0.080,0.004,-1.027,240.424,116.429,-410.975
0.546,0.565,-0.618,0.021,-0.080,0.003,-1.029,239.846,101.633,-410.692
0.527,0.572,-0.628,0.020,-0.078,0.006,-1.025,237.139,110.559,-419.569
0.509,0.578,-0.638,0.018,-0.081,0.005,-1.028,244.962,106.109,-403.645
0.490,0.583,-0.648,0.017,-0.076,0.006,-1.023,234.537,105.873,-409.014
0.471,0.589,-0.657,0.017,-0.078,0.002,-1.025,233.119,113.241,-410.544
0.451,0.594,-0.666,0.016,-0.077,0.005,-1.024,238.261,100.178,-415.017
0.432,0.599,-0.674,0.015,-0.078,0.007,-1.025,229.293,107.208,-410.244
0.413,0.604,-0.682,0.014,-0.080,0.005,-1.025,232.708,107.269,-407.466
0.394,0.608,-0.689,0.014,-0.079,0.008,-1.029,247.628,107.889,-417.109
0.375,0.613,-0.696,0.014,-0.079,0.008,-1.032,255.811,103.547,-407.115
0.355,0.617,-0.702,0.014,-0.077,0.006,-1.026,247.665,122.523,-408.498
0.337,0.620,-0.708,0.014,-0.080,0.005,-1.029,234.422,102.914,-408.957
0.318,0.624,-0.714,0.014,-0.079,0.005,-1.025,246.958,113.537,-402.398
0.299,0.627,-0.719,0.015,-0.082,0.003,-1.025,245.077,109.068,-403.702
0.281,0.631,-0.723,0.016,-0.080,0.003,-1.026,240.424,116.429,-410.975
0.263,0.634,-0.727,0.017,-0.076,0.006,-1.027,243.312,107.558,-405.062
0.246,0.636,-0.731,0.017,-0.078,0.006,-1.028,248.362,114.939,-395.108
0.229,0.639,-0.734,0.019,-0.079,0.006,-1.028,235.891,101.411,-404.575
0.213,0.642,-0.737,0.020,-0.080,0.007,-1.027,232.361,98.391,-407.296
0.197,0.644,-0.739,0.021,-0.078,0.005,-1.024,231.123,105.813,-411.791
0.183,0.646,-0.740,0.023,-0.078,0.007,-1.032,254.277,107.955,-408.588
0.169,0.648,-0.742,0.024,-0.077,0.004,-1.024,220.236,93.741,-416.933
0.157,0.650,-0.743,0.025,-0.077,0.005,-1.030,251.855,103.324,-400.998
0.145,0.652,-0.743,0.027,-0.078,0.003,-1.027,235.956,98.506,-407.483
0.135,0.654,-0.744,0.028,-0.079,0.005,-1.025,236.469,116.207,-404.858
0.125,0.656,-0.744,0.030,-0.078,0.008,-1.027,238.197,103.083,-412.109
0.117,0.658,-0.743,0.032,-0.078,0.008,-1.033,245.669,115.094,-409.745
0.109,0.660,-0.742,0.033,-0.077,0.006,-1.031,256.403,109.573,-413.158
0.103,0.662,-0.742,0.035,-0.079,0.004,-1.028,234.473,108.779,-406.105
0.097,0.664,-0.741,0.036,-0.079,0.001,-1.024,253.155,118.337,-413.141
0.092,0.665,-0.740,0.037,-0.079,0.007,-1.028,239.431,121.000,-421.343
0.087,0.667,-0.739,0.038,-0.077,0.004,-1.030,248.737,106.277,-406.797
0.083,0.669,-0.738,0.039,-0.078,0.005,-1.026,241.843,109.061,-409.445
0.079,0.670,-0.737,0.039,-0.081,0.008,-1.027,243.312,107.558,-405.062
0.076,0.672,-0.735,0.040,-0.080,0.004,-1.024,246.907,107.672,-405.250
0.073,0.674,-0.734,0.041,-0.079,0.007,-1.024,246.274,112.351,-421.547
0.071,0.675,-0.733,0.042,-0.081,0.006,-1.025,243.853,107.720,-413.957
0.069,0.677,-0.731,0.042,-0.078,0.007,-1.023,229.344,113.073,-407.392
0.067,0.679,-0.730,0.043,-0.080,0.005,-1.029,240.027,101.687,-413.656
0.065,0.680,-0.729,0.043,-0.078,0.006,-1.028,245.683,106.325,-415.504
0.064,0.682,-0.727,0.043,-0.078,0.005,-1.029,245.257,109.122,-406.667
0.063,0.683,-0.726,0.044,-0.077,0.007,-1.026,248.492,109.128,-400.924
0.061,0.685,-0.725,0.044,-0.076,0.008,-1.027,243.377,104.653,-407.970
0.060,0.686,-0.723,0.044,-0.077,0.004,-1.028,241.085,94.211,-406.196
0.059,0.688,-0.722,0.044,-0.080,0.006,-1.029,247.332,104.876,-414.087
0.059,0.689,-0.721,0.044,-0.081,0.004,-1.027,235.632,113.031,-392.942
0.058,0.691,-0.719,0.044,-0.078,0.006,-1.027,249.083,115.155,-406.967
0.057,0.693,-0.718,0.044,-0.076,0.006,-1.025,241.547,106.048,-406.423
0.056,0.694,-0.716,0.044,-0.079,0.005,-1.026,249.162,103.480,-415.635
0.056,0.695,-0.715,0.044,-0.079,0.005,-1.028,239.731,98.674,-410.635
0.055,0.697,-0.714,0.044,-0.079,0.007,-1.025,238.479,114.865,-409.371
0.055,0.698,-0.713,0.044,-0.074,0.005,-1.029,242.564,109.278,-421.304
0.054,0.699,-0.711,0.044,-0.078,0.004,-1.025,242.952,107.450,-399.133
0.054,0.701,-0.710,0.044,-0.079,0.007,-1.022,241.625,94.374,-415.091
0.053,0.702,-0.709,0.044,-0.080,0.004,-1.024,238.608,109.055,-415.187
0.053,0.703,-0.707,0.044,-0.080,0.005,-1.028,234.537,105.873,-409.014
